idx,title,url,updated,recMod,header,topics,language,notes,urlOtherTitle,urlOther
62,Hasura GraphQL Cloudflare Worker,https://github.com/nathanwaters/hasura-cloudflare-worker,2018-11-21,2019-06-07,GraphQL,"GraphQL,auth",ES2017,Example for Facebook-based authorization and GraphQL proxy queries with Hasura,,
63,err-table-worker,https://github.com/danigrant/err-table-worker#err-table-worker,2018-12-16,2019-06-07,,"log,AirTable",ES2017,logs http errors to AirTable,,
64,Wasabi CDN cheap website,https://github.com/mraerino/cdn-static,2018-11-23,2020-02-05,,"static,CDN",TypeScript,serves static website from wasabi.com's cheap cloud storage,,
65,go-worker-server,https://github.com/nkcmr/go-worker-server,2018-10-28,2019-06-07,,WASM,GoLang,simple way to hook up standard Go HTTP handlers to a Cloudflare Worker,,
66,URL Shortener wtih Zapier & GA,https://github.com/deens-com/urlshortener,2019-03-27,2019-06-07,,"analytics,app,route",ES2017,advanced URL Shortener running on CloudFlare Workers + Zapier with Remarketing pixels or CTA through Google Tag Manager,,
67,Run Cloudflare Worker scripts locally,https://github.com/dollarshaveclub/cloudworker,2020-03-08,2020-03-18,local-dev,"tool,local-dev",ES2017,"uses Docker, nice API, includes WASM build support",,
68,Apollo Server Cloudflare & Prisma Concept,gitlab.com/travis-projects/cloudflare-workers-graphql-server,2019-02-28,2020-02-02,,GraphQL,ES2015,"uses apollo-server-cloudflare to create a GraphQL server on Cloudflare Workers, and it also uses graphql-request to connect to a Prisma server",,
69,Discount via Country-request,https//cloudflareworkers.com/#bf2d7801e112740f9bd3db6a0b90c0fe:tutorial.cloudflareworkers.com,2019-02-21,2019-06-07,,localization,ES2017,,blog post,scotch.io/tutorials/serverless-cloudflare-workers-are-pretty-awesome
70,GraphQL on Edge Workers,https://github.com/cloudflare/workers-graphql-gateway-example,2018-08-01,2019-06-07,GraphQL,"video,GraphQL",ES2017,Workers GraphQL Gateway Example,video demo,https://youtu.be/E9sDH6ylQc4
71,"Building Workers-KV, Kyle Kloepper ",https://youtu.be/cxgZUqdHAX8,2019-03-27,2019-06-07,,"video,KV",ES2017,"Meetup talk: overview, history, & 'storage gateway worker'",Into blobpost from Cloudflare,https://blog.cloudflare.com/building-with-workers-kv/
72,Serverless Meetup with Cloudflare,https://www.heavybit.com/library/blog/serverless-meetup-with-cloudflare/,2018-10-17,2020-02-02,,video,ES2017,several talks describing CfWorkers,cued to examples of CFWorker usage,https://youtu.be/kGeu2GzyVKw?t=473
73,Wrangler: offiical CLI tool,https://github.com/cloudflare/wrangler,2020-03-18,2020-03-18,official,"WASM,CLI,tool",Rust,"available via `npm` & `cargo`, can build & deploy JS, Rust, & C/C++ projects via templates",brief tutorial,https://dev.to/cloudflareworkers/a-brief-guide-to-what-s-new-with-cloudflare-workers-di8
74,Set Google Analytics Client ID Cookie,https://gist.github.com/dustinrecko/9f34969250f2e0668d4c4fe4808520a7#file-worker-snippet-js,2019-02-26,2019-06-07,security,"article,analytics,security",ES2015,"Fool Webkit's Intelligent Tracking Prevention,  HTTP Set-Cookie /snippet/",article: Google Analytics ITP 2.1 Prevention ,https://omr.ruhr/google-analytics-itp-2-1-prevention-http-set-cookie-snippet-182092779d40
75,GDPR for lazy people: Block all EU users,https://apility.io/2018/05/25/gdpr-lazy-block-european-users-cloudflare-workers/,2018-05-25,2019-06-07,,"article,localization",ES2017,uses  Apility API badip,,
76,CI/CD pipeline for CfWorkers using Serverless in Azure,https://medium.com/gettimely/how-to-set-up-ci-cd-pipeline-for-cloudflare-workers-using-serverless-framework-in-azure-devops-aka-1e904e91e130,2018-09-14,2019-06-07,msc,"article,CI/CD",Serverless,walkthough for a code pipeline with Serverless Framework,,
77,Testing Performance Of Cloudflare Workers,https://medium.com/gaurav-shukla/testing-performance-of-cloudflare-workers-446420c2d269,2019-04-12,2019-06-07,,"article,test",,performance tests for improvements,,
78,stock ticker app for Slack,https://blog.cloudflare.com/building-a-serverless-slack-bot-using-cloudflare-workers/,2018-08-09,2019-06-07,,"article,app,Slack",ES2017,,,
79,Writing an API at the Edge with Firestore,https://blog.cloudflare.com/api-at-the-edge-workers-and-firestore/,2019-03-21,2020-02-13,,"article,app,GCS",ES2017,uses Google's Cloud Firestore for storage & JWT for authentication,,
80,Diving into Technical SEO,https://blog.cloudflare.com/diving-into-technical-seo-cloudflare-workers/,2019-03-07,2020-02-02,article,"article,optmimize,SEO",TypeScript,"modifying incomming & outgoing requests, inject Hreflang tags,, redirects, etc",,
81,Serverless PWA using React,https://github.com/cloudflare/workers-react-pwa-example,2018-11-23,2020-02-02,article,"article,ReactJS",ES2017,terraform deploy srcipt included,Cloudflare article builds up example script,https://blog.cloudflare.com/serverless-pwa-react-cloudflare-workers/
82,Logs from the edge,https://blog.cloudflare.com/logs-from-the-edge/,2018-11-29,2019-06-07,,"article,log",ES2017,uses Elastic Stack (ELK),,
83,Custom Load Balancing,https://www.codiva.io/blog/post/custom-load-balancing-with-cloudflare-worker/,2018-06-01,2019-06-07,,"article,loadbalance,localization",ES2015,simple example to send the request to different hosts per country of requester,bug fix post,community.cloudflare.com/t/geographic-routing-and-load-balancing-with-cloudflare-workers/21900/2
84,Official Blog,https://blog.cloudflare.com/tag/workers/,,2019-06-07,official,,,Cloudflare's blog posts tagged 'worker',,
85,Official Documentation,https://developers.cloudflare.com/workers/about/,,2019-06-07,official,,,"general docs, includes configurations, Cf KeyValue data store, and recipes",,
86,Awesome Service Workers,https://github.com/TalAter/awesome-service-workers#awesome-service-workers-,2018-10-31,2019-06-07,related,,ES2015,Cf Service Workers are based on browser SW,,
87,Cloudflare's Worker Forum / BBS,https://community.cloudflare.com/c/developers/workers,2019-06-07,2019-06-07,official,,,offical community forum,,
88,TypeScript Types and mocks,https://github.com/udacity/cloudflare-typescript-workers,2019-06-07,2019-06-30,local-dev,"tool,template",TypeScript,"simple example and/or starting point for a CfWorker script using TypeScript, WebPack, & Jest",,
89,StackOverflow questions,https://stackoverflow.com/questions/tagged/cloudflare-workers,2019-06-07,2019-06-07,,,,croudsourced help,,
90,Official Serverless Quickstart,https://serverless.com/framework/docs/providers/cloudflare/guide/quick-start/,2019-05-09,2019-06-07,article,,Serverless,guide to use the Serverless Plugin to deploy CfWorkers,,
91,Logger for Loggly,https://github.com/bitquant/cloudflare-workers-logger,2019-06-04,2019-06-08,,log,ES2017,,solarwinds loggy,https://www.loggly.com/
92,cloudflare-workers-sandbox,https://github.com/bitquant/cloudflare-workers-sandbox,2019-06-04,2019-06-08,local-dev,"tool,test,local-dev",ES2017,sandbox environment suitable for running and testing your worker code locally,,
93,Workers CI,https://github.com/shagamemnon/workers-ci,2018-06-14,2019-06-08,,tool,ES2015,Gulp.js client for automating and testing Cloudflare Workers deployments,,
95,Bitquant's Sandbox,https://github.com/bitquant/cloudflare-workers-sandbox,2019-06-26,2019-06-30,,local-dev,ES2017,Test your Cloudflare Workers application with your local machine,,
96,Custom Domain example,https://github.com/dnwk/Handle-Server-customdomain-with-Cloudflare-Worker,2019-06-24,2019-06-30,,route,ES2017,perform redirect when URL is found,,
97,KV  Benchmark,https://github.com/rluisr/workerskv_benchmark,2019-06-21,2019-06-30,,"test,tool,KV",GoLang,compare own memcache server with WorkersKV,,
98,CFP Land RSS WOrker,https://github.com/cfpland/rss-worker,2019-06-18,2019-06-30,,"service,SEO",ES2017,generates an RSS feed ,live RSS feed,https://feeds.cfpland.com/v2/rss/cfps
99,Shopping site demo,https://github.com/jRiest/shopping-demo,,2019-06-30,,"static,ReactJS",ES2017,serverless shopping website ,live demo,https://shopping.jake.workers.dev/
100,blog server in Chinese,https://github.com/kasuganosoras/cloudflare-worker-blog,2019-06-16,2019-06-30,Chinese,article,PHP,"Served via Workers, but deployed via PHP",live site,https://blog.natfrp.org/solusvm-chinese-translate
101,score users' new passwords with zxcvbn,https://github.com/detroitenglish/pw-pwnage-cfworker,2019-06-12,2019-06-30,security,"security,app,REST",ES2017,RESTful endpoint for sanely scoring users' new passwords  & querys Troy Hunt's haveibeenpwned collection of +5.1 billion breached accounts,,
102,Template: validating JWTs from Auth0,https://github.com/bcnzer/cloudflare-worker-template-auth0-jwt,2019-06-11,2019-06-30,,"security,auth,template",ES2017,For use with Wrangler CLI ,,
103,Google Analytics shield ,https://github.com/boynet/cf-GoogleAnalytics-shield-worker,2019-06-11,2019-06-30,msc,"SEO,analytics",ES2017,protect google analytics from being blocked by ad blockers,,
104,Template: TypeScript  & Jest by udacity,https://github.com/udacity/cloudflare-typescript-worker-template,2019-06-10,2019-06-30,tool,template,TypeScript,"preconfigured starter template for building a Tslint strictly linted/formatted, Jest tested, Webpack built, TypeScript",,
105,example Gatsby.js project ,https://github.com/signalnerve/gatsby-cloudflare-workers,2019-06-10,2019-06-30,GraphQL,ReactJS,ES2017,blog served via GatsbyJS/React,,
106,file hosting,https://github.com/judge2020/cloudflare-file-hosting,2019-06-09,2019-06-30,,app,TypeScript,Uses Workers KV to enable Cloudflare as a file host. This is currently unstable,,
107,ว่าง ๆ มาสร้าง Serverless function บน Cloudflare Workers กัน,http://www.somkiat.cc/deploy-serverless-on-cloudflare-workers/,2019-04-19,2019-07-05,ไทย (Thai),article,ES2017,How to use Wrangler in Thai,,
108,Living at the Edge at Dwolla,https://www.dwolla.com/updates/living-at-the-edge/,2019-06-27,2019-07-05,,"article,CI/CD",ES2017,Using environment variables & CI pipeline,,
109,Building a To-Do List App,,2019-05-23,2019-07-07,,"article,app",ES2017,"uses CF KV also, pre-Wrangler, so work is via web interface",,
112,Edgy,www.cloudflare.com/apps/edgy,2019-09-24,2020-02-02,,"app,commercial",ES2015,"Free, on-demand Maintenance Mode for your site",demo,https://www.networkchimp.com/tutorials/edgy.html
113,Fortify,www.cloudflare.com/apps/fortify,2019-11-26,2020-02-02,,"app,commercial",ES2015,Add custom HTTP headers to your in-flight requests,demo,https://www.networkchimp.com/tutorials/fortify.html
114,Portzilla,www.cloudflare.com/apps/portzilla,2019-11-26,2020-02-02,,"app,commercial",ES2017,"A reverse-proxy on the edge, no more NGINX",demo,https://www.networkchimp.com/tutorials/portzilla-api.html
115,Cassette,www.cloudflare.com/apps/cassette,2019-09-24,2020-02-02,,"app,commercial",ES2015,"Cache object storage assets from S3, GCS, and more on Cloudflare",demo,https://www.networkchimp.com/tutorials/cassette.html
116,Testing Cloudflare workers,https://findwork.dev/blog/testing-cloudflare-workers/,2019-10-22,2020-02-02,article,"test,tool",ES2015,"There is no extensive tutorial on how to test Cloudflare workers, so I wrote one",,
117,Minimal Middlware Router,https://github.com/markusahlstrand/cloudworker-router,2020-02-20,2020-03-18,,"route,library",ES2017,"small (3,36KB) koajs-router-style router for cloudflare workers.",,
118,Built with Workers Showcase,https://workers.cloudflare.com/built-with/,2020-01-29,2020-02-02,boss,"GraphQL,GatsbyJS,ReactJS",ES2017,Websites & projects built with Cloudflare Workers,source,https://github.com/cloudflare/built-with-workers
119,globally distributed Apollo GraphQL server,https://github.com/signalnerve/workers-graphql-server,2019-12-13,2020-02-02,GraphQL,GraphQL,ES2017,"Debugging, CORS, REST caching",Playground demo,https://graphql-on-workers.signalnerve.com/___graphql
120,Lazy Invoice PDF generator,http://lazy.invoice.workers.dev/,2019-10-24,2020-02-02,tool,pdf,ES2017,simple online invoice tool,source,https://github.com/adamschwartz/lazy.invoice.workers.dev
121,Blog app,https://telex.blog/,2019-10-24,2020-03-18,,KV,ES2017,Write posts anonymously,source,https://github.com/panda-sandeep/telex
122,Status Page,https://github.com/RedL0tus/status-server,2019-10-22,2020-02-02,,"WASM,security",Rust,Authenticate records using HMAC-SHA512 algorithm with RustCrypto libraries & KV,,
123,Python Cloudflare Worker Route,https://github.com/alamsyahho/cloudflare-worker-route,2019-10-20,2020-02-02,,route,Python,,,
124,GitCF,https://github.com/maple3142/gitcf,2019-10-04,2020-02-02,tool,route,ES2015,RawGit clone on CfWorkers.,demo,https://gh.maple3142.net/
125,Deploy a React App,https://developers.cloudflare.com/workers/tutorials/deploy-a-react-app/,2019-10-04,2020-02-02,article,"ReactJS,video",ES2017,,source,https://github.com/cloudflare/react-workers-template
126,Elm CfWorkers example,https://github.com/choonkeat/elm-serverless-edge,2019-09-20,2020-02-02,article,example,Elm,Elm on Cloudflare Workers with KV,,
127,Cf-Worker-Kit,https://github.com/lucacasonato/workerkit,2019-12-14,2020-02-02,tool,template,TypeScript,library to make writing Cloudflare Workers way nicer ,,
128,Assorted demos ,https://github.com/mikaelvesavuori/cloudflare-workers-demos,2019-12-27,2020-02-03,msc,route,ES2017,"checks: if bot, moble, user-country, A/B testing, etc",,
129,Flash - Response Lantency Simulator,https://github.com/codeb2cc/cf-flash-slothmore,2020-01-02,2020-02-03,,test,ES2017,,,
130,worker-haskell-template,https://github.com/ento/worker-haskell-template,2020-01-08,2020-02-03,msc,template,Haskell,Wrangler template for a Cloudflare Workers + Haskell (Asterius) project,,
131,@readme/cloudflare-worker,https://github.com/readmeio/cloudflare-worker,2020-01-14,2020-02-03,,log,ES2017,get your API log data into ReadMe.IO,docs,https://docs.readme.com/metrics/docs/sending-logs-to-readme-with-cloudflare
132, TomasHubelbauer;s setup tutorial,https://github.com/TomasHubelbauer/cloudflare-worker,2020-01-13,2020-02-19,,tutorial,ES2017,setting up and basic usage checklist,,
133,worker-graphql ,https://github.com/BorderlessLabs/worker-graphql,2020-01-12,2020-02-03,API,GraphQL,ES2017,much smaller than Apollo Server,,
134,cache-crawled-links-worker,https://github.com/cowchimp/cache-crawled-links-worker,2019-08-04,2020-02-03,,cache,ES2017,"proxies requests to an origin server, and pre-caches pages that the user might navigate to.",,
135,feature-rich api gateway ,https://github.com/markusahlstrand/cloudworker-proxy,2020-03-12,2020-03-18,API,"tool,route,AWS,GCS",ES2017,"invoke Lambadas & GC, load balance, static res, logging, auth, rate limiting, mod headers",example,https://proxy.cloudproxy.io/
136,tiny-request-router ,https://github.com/berstend/tiny-request-router,2020-01-05,2020-02-05,API,route,TypeScript,"battle-tested, fast, generic and type safe router ",,
137,Axios uses CfWorkers,https://www.axios.com/new-axios-website-google-amp-563e62ba-8708-4965-8f5e-3216bd268383.html,2020-02-06,2020-02-06,boss,article,,"""gradual rollout, perform A/B testing, and perform ESI-style page-stitching""",,
138,Kristian Freeman's interview at Sanity.io,https://www.sanity.io/blog/how-cloudflares-built-with-workers-was-built,2020-02-11,2020-02-13,article,"interview,video",,How Cloudflare built their showcase site for Workers on Sanity.io and Gatsby… and Workers,YouTube,https://www.youtube.com/watch?time_continue=1007&v=udI-pnsWzpc&feature=emb_title
139,Use Cloudflare JS Workers to Deploy Your SSG,https://levelup.gitconnected.com/use-cloudflare-javascript-workers-to-deploy-you-static-generated-site-ssg-1c518e078646,2020-01-30,2020-02-17,article,"setup,static,NextJS",ES2017,Complete tutorial: config at Cloudflare's admin dashboard to using KV to store versions.,,
141,Hosting Static Wordpress Sites,https://developers.cloudflare.com/workers/tutorials/hosting-static-wordpress-sites/,2019-11-01,2020-02-21,boss,"WordPress,article,static",ES2017,"WP2Static, then setup Workers project",YouTube,https://youtu.be/LR7YF1z4VzM
142,Setup CfWorkers on a Custom Domain,https://www.andressevilla.com/how-to-setup-cloudflare-workers-on-a-custom-domain/,2019-12-11,2020-02-21,,"article,setup",,,,
143,Abused CfWorker Used to Inject Korean SEO Spam,https://blog.sucuri.net/2020/02/abused-cloudflare-workers-service-used-to-inject-korean-seo-spam.html,2020-02-13,2020-02-21,security,"article,SEO,inject",,SEO spam showed only in Google search results,,
144,placeholders.dev,https://placeholders.dev/,2020-02-22,2020-02-22,boss,"service,REST",ES2017,Generate custom SVG placeholder images,source,https://github.com/Cherry/placeholders.dev
145,Crafthead,https://github.com/astei/crafthead,2020-02-20,2020-02-23,,service,ES2017,Super scalable Minecraft avatar generation,demo,https://crafthead.net/
146,ethereum-worker,https://github.com/shalzz/ethereum-worker,2020-02-16,2020-02-23,,"cache,blockchain",TypeScript,caching layer for an ethereum node ,,
147,worker-pastebin,https://github.com/PeterCxy/worker-pastebin,2020-02-19,2020-02-23,,tool,CoffeeScript ,,,
148,kv-orm/cf-workers ,kv-orm/cf-workers ,2020-02-19,2020-02-23,,KV,TypeScript,,,
149, wilsonzlin/edgesearch,https://github.com/wilsonzlin/edgesearch,2020-02-15,2020-02-23,boss,"REST,service",Rust,full text search API using WebAssembly,,
150,Google Drive Index,https://github.com/maple3142/GDIndex,2020-01-04,2020-02-23,,VueJS,ES2017,,demo,https://gdindex-demo.maple3142.workers.dev/
